,Acceleromer  Failure,Compass Failure,File Name,GPS Failure,Mechanical Failure,Radio Failure,Uncontrolled altitude,Uncontrolled latitude,Uncontrolled longitude,Uncontrolled pitch,Uncontrolled roll,Uncontrolled yaw
0,,,568c058bb560505c22dc402c,1.0,,,,,,1.0,1.0,1.0
1,,,568c0b3a7132fa902e401d31,1.0,,,,,,1.0,1.0,1.0
2,,,568c0db17132fa902e401d33,1.0,,,,,,1.0,1.0,1.0
3,,,568c0e8f7132fa902e401d34,1.0,,,,,,1.0,1.0,1.0
4,,,568c0f4a7132fa902e401d35,1.0,,,,,,1.0,1.0,1.0
5,,,56d75dd746a12d150ba9724f,1.0,,,,,,1.0,1.0,1.0
6,,,56d7e5a546a12d150ba97250,1.0,,,,,,1.0,1.0,1.0
7,,,56f69d8d85e739af3b3cb422,1.0,,,,,,1.0,1.0,1.0
8,,,56f6af5385e739af3b3cb424,1.0,,,,,,1.0,1.0,1.0
9,,,56f6af5b85e739af3b3cb425,1.0,,,,,,1.0,1.0,1.0
10,,,56f6af6885e739af3b3cb426,1.0,,,,,,1.0,1.0,1.0
11,,,56f6af7385e739af3b3cb427,1.0,,,,,,1.0,1.0,1.0
12,,,5757cf85cf913b9b04694227,1.0,,,,,,1.0,1.0,1.0
13,,,5757d3dfcf913b9b04694228,1.0,,,,,,1.0,1.0,1.0
14,,,5757d47fcf913b9b04694229,1.0,,,,,,1.0,1.0,1.0
15,,,575ce9d988bc9002549dfb5e,1.0,,,,,,1.0,1.0,1.0
16,,,575eaeb288bc9002549dfb5f,0.0,,,,,,,,
17,,,575ec43488bc9002549dfb60,1.0,,,,,,1.0,1.0,1.0
18,,,575ed0b988bc9002549dfb61,0.0,,,,,,1.0,1.0,1.0
19,,,575ed0f588bc9002549dfb64,1.0,,,,,,1.0,1.0,1.0
20,,,575ed3b888bc9002549dfb65,1.0,,,,,,1.0,1.0,1.0
21,,,575ed4c688bc9002549dfb67,1.0,,,,,,1.0,1.0,1.0
22,,,575ed63888bc9002549dfb68,1.0,,,,,,1.0,1.0,1.0
23,,,575ed70388bc9002549dfb69,1.0,,,,,,1.0,1.0,1.0
24,,,575ed83488bc9002549dfb6a,1.0,,,,,,1.0,1.0,1.0
25,,,575ed8a988bc9002549dfb6b,1.0,,,,,,1.0,1.0,1.0
26,,,575ed92d88bc9002549dfb6c,1.0,,,,,,1.0,1.0,1.0
27,,,575ed9da88bc9002549dfb6d,1.0,,,,,,1.0,1.0,1.0
28,,,575edf5e88bc9002549dfb6e,1.0,,,,,,1.0,1.0,1.0
29,,,575edfbe88bc9002549dfb6f,1.0,,,,,,1.0,1.0,1.0
30,,,575ee03288bc9002549dfb70,1.0,,,,,,1.0,1.0,1.0
31,,,575ee12f88bc9002549dfb71,1.0,,,,,,1.0,1.0,1.0
32,,,575ee14588bc9002549dfb72,1.0,,,,,,1.0,1.0,1.0
33,,,575ee54488bc9002549dfb73,1.0,,,,,,1.0,1.0,1.0
