,user,controller,mode,event_start,event_end
event306,0.0,1.0,0.0,296.0,297.0
event302,1.0,1.0,1.0,1281.0,1333.0
event303,0.0,1.0,0.0,1333.0,1372.0
event304,1.0,1.0,0.0,1776.0,1789.0
event305,1.0,1.0,0.0,3466.0,3467.0
event300,1.0,1.0,0.0,1648.0,1651.0
event301,1.0,1.0,0.0,1651.0,1654.0
event296,0.0,1.0,0.0,1358.0,1391.0
event297,0.0,1.0,0.0,1391.0,1421.0
event298,0.0,1.0,0.0,1949.0,1989.0
event299,1.0,1.0,0.0,2493.0,2497.0
event295,0.0,1.0,0.0,1000.0,1044.0
event292,0.0,1.0,0.0,1981.0,2079.0
event293,0.0,1.0,0.0,2079.0,2162.0
event294,1.0,1.0,0.0,2289.0,2318.0
event283,1.0,1.0,1.0,95.0,101.0
event284,0.0,1.0,0.0,1100.0,1101.0
event285,1.0,1.0,0.0,6561.0,6567.0
event286,0.0,1.0,0.0,7008.0,7009.0
event287,1.0,1.0,0.0,8105.0,8123.0
event288,1.0,1.0,0.0,8123.0,8128.0
event289,1.0,1.0,0.0,8315.0,8322.0
event290,1.0,1.0,0.0,8399.0,8404.0
event291,1.0,1.0,0.0,8404.0,8409.0
event282,1.0,1.0,0.0,2905.0,2914.0
event278,0.0,1.0,0.0,154.0,155.0
event279,0.0,1.0,1.0,1151.0,1152.0
event280,0.0,0.0,0.0,4380.0,4387.0
event281,0.0,0.0,0.0,4389.0,4392.0
event276,0.0,1.0,0.0,314.0,315.0
event277,0.0,1.0,0.0,1759.0,1760.0
event272,0.0,1.0,0.0,230.0,231.0
event273,1.0,1.0,0.0,3313.0,3322.0
event274,1.0,1.0,0.0,4549.0,4556.0
event275,0.0,1.0,0.0,4961.0,4965.0
event269,0.0,0.0,1.0,1282.0,1285.0
event270,0.0,0.0,0.0,1311.0,1325.0
event271,0.0,0.0,0.0,1369.0,1370.0
event268,1.0,0.0,1.0,0.0,47.0
event267,0.0,1.0,0.0,413.0,419.0
event263,0.0,1.0,0.0,448.0,449.0
event264,0.0,1.0,0.0,881.0,1095.0
event265,0.0,1.0,1.0,1095.0,1316.0
event266,0.0,1.0,0.0,2765.0,3112.0
event260,0.0,1.0,0.0,364.0,365.0
event261,0.0,1.0,1.0,831.0,832.0
event262,0.0,1.0,1.0,1280.0,1281.0
event258,0.0,1.0,0.0,300.0,301.0
event259,0.0,1.0,0.0,350.0,351.0
event257,0.0,1.0,1.0,748.0,749.0
event251,1.0,1.0,0.0,7752.0,7791.0
event252,0.0,1.0,0.0,7804.0,7832.0
event253,1.0,1.0,0.0,8248.0,8256.0
event254,1.0,1.0,0.0,8256.0,8265.0
event255,0.0,1.0,0.0,11251.0,11273.0
event256,0.0,1.0,0.0,12030.0,12031.0
event248,0.0,1.0,0.0,2933.0,2934.0
event249,0.0,1.0,0.0,4480.0,4481.0
event250,0.0,1.0,0.0,4481.0,4482.0
event247,0.0,1.0,1.0,162.0,1295.0
event244,1.0,1.0,0.0,370.0,384.0
event245,0.0,1.0,1.0,666.0,680.0
event246,0.0,1.0,0.0,945.0,946.0
event243,1.0,1.0,1.0,0.0,216.0
event240,0.0,1.0,0.0,192.0,200.0
event241,1.0,1.0,0.0,374.0,391.0
event242,1.0,1.0,0.0,398.0,420.0
event238,0.0,1.0,0.0,3292.0,3313.0
event239,0.0,1.0,0.0,3313.0,3338.0
event236,0.0,1.0,0.0,2400.0,2408.0
event237,0.0,1.0,0.0,2468.0,2489.0
event235,0.0,0.0,1.0,21.0,40.0
event234,0.0,1.0,0.0,347.0,348.0
event230,1.0,1.0,0.0,4174.0,4178.0
event231,1.0,1.0,0.0,4178.0,4188.0
event232,1.0,0.0,0.0,5562.0,5563.0
event233,1.0,1.0,0.0,6220.0,6228.0
event229,0.0,1.0,1.0,89.0,94.0
event228,0.0,1.0,1.0,89.0,94.0
event221,1.0,1.0,0.0,1289.0,1290.0
event222,0.0,1.0,0.0,3884.0,3885.0
event223,0.0,1.0,0.0,4751.0,4752.0
event224,0.0,1.0,0.0,5575.0,5576.0
event225,0.0,1.0,0.0,6432.0,6433.0
event226,0.0,1.0,0.0,6746.0,6747.0
event227,0.0,1.0,0.0,7402.0,7403.0
event220,0.0,1.0,1.0,0.0,213.0
event219,1.0,1.0,1.0,41.0,42.0
event218,0.0,0.0,1.0,0.0,42.0
event217,0.0,1.0,0.0,0.0,4.0
event216,0.0,0.0,1.0,22.0,61.0
event215,0.0,1.0,1.0,0.0,53.0
event213,1.0,1.0,1.0,579.0,586.0
event214,1.0,1.0,1.0,586.0,601.0
event208,1.0,1.0,0.0,1874.0,1893.0
event209,1.0,1.0,0.0,1893.0,1912.0
event210,1.0,1.0,0.0,2507.0,2524.0
event211,1.0,0.0,0.0,2668.0,2696.0
event212,0.0,1.0,0.0,2709.0,2741.0
event206,1.0,1.0,0.0,414.0,415.0
event207,0.0,1.0,1.0,840.0,841.0
event205,1.0,1.0,0.0,199.0,323.0
event202,0.0,1.0,0.0,1991.0,1992.0
event203,0.0,1.0,0.0,2036.0,2037.0
event204,1.0,1.0,0.0,2326.0,2327.0
event199,0.0,1.0,0.0,1036.0,1037.0
event200,0.0,1.0,0.0,1046.0,1047.0
event201,0.0,1.0,0.0,1058.0,1060.0
event196,0.0,1.0,0.0,1026.0,1027.0
event197,0.0,1.0,0.0,1761.0,1762.0
event198,0.0,1.0,0.0,1835.0,1836.0
event195,1.0,0.0,1.0,802.0,1285.0
event191,1.0,1.0,0.0,271.0,274.0
event192,1.0,1.0,0.0,274.0,279.0
event193,1.0,1.0,0.0,8975.0,8982.0
event194,1.0,1.0,0.0,8982.0,8989.0
event190,0.0,0.0,1.0,136.0,3149.0
event186,0.0,1.0,0.0,2644.0,2674.0
event187,0.0,1.0,0.0,2696.0,2735.0
event188,1.0,1.0,0.0,7209.0,7212.0
event189,1.0,1.0,0.0,7212.0,7215.0
event165,0.0,1.0,0.0,925.0,933.0
event166,0.0,1.0,0.0,5649.0,5651.0
event167,0.0,1.0,0.0,5730.0,5731.0
event168,0.0,1.0,0.0,5795.0,5796.0
event169,0.0,1.0,0.0,5842.0,5843.0
event170,0.0,1.0,0.0,5864.0,5866.0
event171,0.0,1.0,0.0,5887.0,5888.0
event172,0.0,1.0,0.0,5931.0,5932.0
event173,0.0,1.0,0.0,5978.0,5979.0
event174,0.0,1.0,0.0,6180.0,6181.0
event175,0.0,1.0,0.0,6417.0,6418.0
event176,0.0,1.0,0.0,6448.0,6449.0
event177,0.0,1.0,0.0,6461.0,6462.0
event178,0.0,1.0,0.0,6491.0,6492.0
event179,0.0,1.0,0.0,6505.0,6506.0
event180,0.0,1.0,0.0,6571.0,6572.0
event181,0.0,1.0,0.0,6584.0,6585.0
event182,0.0,1.0,0.0,6626.0,6627.0
event183,0.0,1.0,0.0,6649.0,6650.0
event184,0.0,1.0,0.0,6712.0,6713.0
event185,0.0,1.0,0.0,6743.0,6744.0
event164,0.0,1.0,1.0,935.0,1555.0
event162,1.0,1.0,0.0,260.0,265.0
event163,0.0,1.0,1.0,1247.0,1257.0
event160,0.0,1.0,0.0,1705.0,1709.0
event161,0.0,1.0,0.0,1709.0,1718.0
event152,1.0,1.0,0.0,290.0,294.0
event153,1.0,1.0,0.0,294.0,298.0
event154,1.0,1.0,0.0,5597.0,5598.0
event155,1.0,1.0,0.0,8464.0,8468.0
event156,1.0,1.0,0.0,8468.0,8473.0
event157,0.0,1.0,0.0,9230.0,9231.0
event158,1.0,1.0,0.0,11164.0,11168.0
event159,0.0,1.0,0.0,12600.0,12601.0
event151,1.0,1.0,1.0,0.0,421.0
event150,1.0,0.0,0.0,196.0,452.0
event147,0.0,1.0,0.0,3098.0,3099.0
event148,0.0,1.0,0.0,6005.0,6006.0
event149,0.0,1.0,0.0,9348.0,9349.0
event145,1.0,1.0,0.0,434.0,447.0
event146,0.0,1.0,0.0,1669.0,1680.0
event134,0.0,1.0,1.0,44.0,72.0
event135,1.0,1.0,0.0,468.0,487.0
event136,0.0,1.0,0.0,3570.0,3690.0
event137,1.0,1.0,0.0,5957.0,6034.0
event138,0.0,1.0,0.0,6034.0,6092.0
event139,0.0,1.0,0.0,6291.0,6360.0
event140,0.0,1.0,0.0,6753.0,6825.0
event141,0.0,1.0,0.0,6825.0,6873.0
event142,0.0,1.0,0.0,7227.0,7399.0
event143,1.0,0.0,0.0,9299.0,9318.0
event144,1.0,1.0,0.0,9318.0,9331.0
event133,0.0,1.0,1.0,334.0,3030.0
event132,1.0,1.0,1.0,598.0,2435.0
event130,1.0,1.0,1.0,1195.0,1214.0
event131,1.0,1.0,1.0,1214.0,1230.0
event129,0.0,1.0,1.0,0.0,37.0
event122,1.0,1.0,0.0,720.0,729.0
event123,1.0,1.0,1.0,729.0,739.0
event124,1.0,1.0,0.0,3887.0,3898.0
event125,0.0,1.0,0.0,4960.0,4974.0
event126,0.0,1.0,0.0,4974.0,4988.0
event127,1.0,1.0,0.0,6070.0,6079.0
