,Acceleromer Failure,Compass Interference,Detection Duration,File Name,GPS Failure,Mechanical Failure,Uncontrolled altitude,Uncontrolled latitude,Uncontrolled longitude,Uncontrolled pitch,Uncontrolled roll,Uncontrolled yaw
0,,1.0,10.027223110198975,568c058bb560505c22dc402c,1.0,1.0,,0.0,0.0,0.0,1.0,1.0
1,,1.0,7.2184412479400635,568c0b3a7132fa902e401d31,1.0,1.0,,0.0,0.0,1.0,1.0,1.0
2,,1.0,7.455156326293945,568c0db17132fa902e401d33,1.0,1.0,,,,1.0,1.0,1.0
3,,1.0,5.5184125900268555,568c0e8f7132fa902e401d34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,,1.0,6.8311240673065186,568c0f4a7132fa902e401d35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5,0.0,1.0,7.610340356826782,56d75dd746a12d150ba9724f,1.0,1.0,0.0,,,1.0,1.0,1.0
6,0.0,1.0,5.879177093505859,56d7e5a546a12d150ba97250,0.0,1.0,0.0,,,1.0,0.0,1.0
7,1.0,1.0,6.303629398345947,56f69d8d85e739af3b3cb422,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
8,,1.0,6.738036394119263,56f6af5385e739af3b3cb424,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
9,,1.0,5.835086107254028,56f6af5b85e739af3b3cb425,1.0,1.0,1.0,,,0.0,0.0,1.0
10,,1.0,6.310822248458862,56f6af6885e739af3b3cb426,1.0,,1.0,1.0,1.0,0.0,0.0,0.0
11,,1.0,6.062659978866577,56f6af7385e739af3b3cb427,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
12,,,5.965347051620483,5757cf85cf913b9b04694227,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
13,,,5.518744468688965,5757d3dfcf913b9b04694228,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
14,,,5.737590312957764,5757d47fcf913b9b04694229,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,,,5.1106884479522705,575ce9d988bc9002549dfb5e,0.0,,1.0,1.0,1.0,0.0,0.0,0.0
16,,,5.0713911056518555,575eaeb288bc9002549dfb5f,,1.0,,,,,,
17,,,5.94933557510376,575ec43488bc9002549dfb60,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
18,,,5.000882148742676,575ed0b988bc9002549dfb61,1.0,1.0,1.0,,,0.0,0.0,1.0
19,,,5.065163612365723,575ed0f588bc9002549dfb64,1.0,,1.0,1.0,1.0,0.0,0.0,0.0
20,,,6.901540040969849,575ed3b888bc9002549dfb65,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
