,MODE_Mode,GPS_GCrs,GPS_Alt,GPS_NSats,GPS_Spd,GPS_Lat,GPS_Status,GPS_HDop,GPS_Lng,DU32_Id,DU32_Value,ATT_Roll,ATT_Yaw,ATT_Pitch,EV_Id,CURR_CurrTot,CURR_Volt,CURR_Curr,GPS_VZ,PM_MaxT,PM_NLon,PM_I2CErr,PM_NLoop,PM_PMT,PM_INSErr,PARM_Name,PARM_Value,ATT_DesRoll,ATT_DesPitch,ATT_DesYaw,MSG_Message,CURR_Vcc,CTUN_Alt,CTUN_SAlt,CTUN_DSAlt,CTUN_DAlt,CTUN_CRt,CTUN_DCRt,CTUN_ThrOut,CTUN_ThrIn,CTUN_AngBst,CTUN_BarAlt,ATT_ErrRP,ATT_ErrYaw,GPS_RelAlt,MODE_ThrCrs,CURR_ThrInt,GPS_Week,GPS_TimeMS,GPS_T,CURR_ThrOut,PM_INAVErr,NTUN_VelX,NTUN_DVelX,NTUN_DVelY,NTUN_VelY,CURR_TimeMS,ATT_TimeMS,CTUN_TimeMS,IMU_AccX,IMU_AccY,IMU_GyrZ,IMU_GyrX,IMU_GyrY,IMU_AccZ,NTUN_DPosX,NTUN_PosX,NTUN_DAccX,NTUN_DPosY,NTUN_DAccY,NTUN_PosY,RCIN_C1,RCIN_C5,RCIN_C11,RCIN_C7,RCIN_C10,RCIN_C3,RCIN_C12,RCIN_C8,RCIN_C9,RCIN_C6,RCIN_C4,RCIN_C2,BARO_Temp,BARO_Alt,BARO_Press,BARO_CRt,ERR_Subsys,ERR_ECode,NTUN_TimeMS,RAD_RxErrors,RAD_RemNoise,RAD_Fixed,RAD_RSSI,RAD_Noise,RAD_TxBuf,RAD_RemRSSI,IMU_TimeMS,MAG_MagZ,MAG_OfsX
MODE_Mode,,no-causal,no-causal,MODE_Mode causes GPS_NSats,no-causal,MODE_Mode causes GPS_Lat,both,MODE_Mode causes GPS_HDop,MODE_Mode causes GPS_Lng,,no-causal,MODE_Mode causes ATT_Roll,no-causal,MODE_Mode causes ATT_Pitch,MODE_Mode causes EV_Id,,no-causal,no-causal,no-causal,no-causal,no-causal,,no-causal,no-causal,,,,MODE_Mode causes ATT_DesRoll,MODE_Mode causes ATT_DesPitch,MODE_Mode causes ATT_DesYaw,,MODE_Mode causes CURR_Vcc,no-causal,,,,no-causal,MODE_Mode causes CTUN_DCRt,MODE_Mode causes CTUN_ThrOut,MODE_Mode causes CTUN_ThrIn,MODE_Mode causes CTUN_AngBst,no-causal,MODE_Mode causes ATT_ErrRP,MODE_Mode causes ATT_ErrYaw,no-causal,MODE_Mode causes MODE_ThrCrs,,,both,,MODE_Mode causes CURR_ThrOut,,MODE_Mode causes NTUN_VelX,MODE_Mode causes NTUN_DVelX,MODE_Mode causes NTUN_DVelY,MODE_Mode causes NTUN_VelY,,,,MODE_Mode causes IMU_AccX,no-causal,no-causal,no-causal,no-causal,MODE_Mode causes IMU_AccZ,,,MODE_Mode causes NTUN_DAccX,,MODE_Mode causes NTUN_DAccY,,no-causal,both,no-causal,no-causal,no-causal,MODE_Mode causes RCIN_C3,no-causal,no-causal,no-causal,no-causal,no-causal,no-causal,both,no-causal,no-causal,no-causal,,,,,no-causal,,no-causal,MODE_Mode causes RAD_Noise,no-causal,,,MODE_Mode causes MAG_MagZ,
GPS_GCrs,no-causal,,no-causal,no-causal,no-causal,GPS_GCrs causes GPS_Lat,GPS_GCrs causes GPS_Status,no-causal,both,,no-causal,GPS_GCrs causes ATT_Roll,GPS_GCrs causes ATT_Yaw,GPS_GCrs causes ATT_Pitch,no-causal,,no-causal,no-causal,no-causal,no-causal,no-causal,,no-causal,no-causal,,GPS_GCrs causes PARM_Name,GPS_GCrs causes PARM_Value,GPS_GCrs causes ATT_DesRoll,GPS_GCrs causes ATT_DesPitch,GPS_GCrs causes ATT_DesYaw,,no-causal,GPS_GCrs causes CTUN_Alt,no-causal,no-causal,GPS_GCrs causes CTUN_DAlt,GPS_GCrs causes CTUN_CRt,no-causal,GPS_GCrs causes CTUN_ThrOut,no-causal,no-causal,no-causal,GPS_GCrs causes ATT_ErrRP,GPS_GCrs causes ATT_ErrYaw,no-causal,both,,no-causal,GPS_GCrs causes GPS_TimeMS,no-causal,no-causal,,GPS_GCrs causes NTUN_VelX,GPS_GCrs causes NTUN_DVelX,both,both,,,no-causal,GPS_GCrs causes IMU_AccX,GPS_GCrs causes IMU_AccY,no-causal,no-causal,no-causal,no-causal,GPS_GCrs causes NTUN_DPosX,both,GPS_GCrs causes NTUN_DAccX,GPS_GCrs causes NTUN_DPosY,GPS_GCrs causes NTUN_DAccY,both,GPS_GCrs causes RCIN_C1,no-causal,no-causal,no-causal,no-causal,GPS_GCrs causes RCIN_C3,no-causal,no-causal,no-causal,no-causal,no-causal,GPS_GCrs causes RCIN_C2,no-causal,both,both,GPS_GCrs causes BARO_CRt,,,no-causal,,no-causal,,GPS_GCrs causes RAD_RSSI,no-causal,no-causal,no-causal,no-causal,GPS_GCrs causes MAG_MagZ,no-causal
GPS_Alt,GPS_Alt causes MODE_Mode,no-causal,,GPS_Alt causes GPS_NSats,GPS_Alt causes GPS_Spd,GPS_Alt causes GPS_Lat,both,GPS_Alt causes GPS_HDop,both,,GPS_Alt causes DU32_Value,GPS_Alt causes ATT_Roll,GPS_Alt causes ATT_Yaw,GPS_Alt causes ATT_Pitch,no-causal,,GPS_Alt causes CURR_Volt,GPS_Alt causes CURR_Curr,both,no-causal,no-causal,,GPS_Alt causes PM_NLoop,no-causal,,GPS_Alt causes PARM_Name,no-causal,GPS_Alt causes ATT_DesRoll,GPS_Alt causes ATT_DesPitch,GPS_Alt causes ATT_DesYaw,,GPS_Alt causes CURR_Vcc,both,no-causal,no-causal,no-causal,both,both,GPS_Alt causes CTUN_ThrOut,both,GPS_Alt causes CTUN_AngBst,GPS_Alt causes CTUN_BarAlt,GPS_Alt causes ATT_ErrRP,GPS_Alt causes ATT_ErrYaw,GPS_Alt causes GPS_RelAlt,,,both,both,no-causal,GPS_Alt causes CURR_ThrOut,,GPS_Alt causes NTUN_VelX,no-causal,GPS_Alt causes NTUN_DVelY,no-causal,,,,GPS_Alt causes IMU_AccX,GPS_Alt causes IMU_AccY,GPS_Alt causes IMU_GyrZ,GPS_Alt causes IMU_GyrX,no-causal,GPS_Alt causes IMU_AccZ,no-causal,GPS_Alt causes NTUN_PosX,GPS_Alt causes NTUN_DAccX,no-causal,no-causal,no-causal,GPS_Alt causes RCIN_C1,no-causal,,no-causal,,GPS_Alt causes RCIN_C3,,no-causal,,GPS_Alt causes RCIN_C6,GPS_Alt causes RCIN_C4,no-causal,GPS_Alt causes BARO_Temp,GPS_Alt causes BARO_Alt,GPS_Alt causes BARO_Press,GPS_Alt causes BARO_CRt,,,,,no-causal,,no-causal,no-causal,no-causal,no-causal,,GPS_Alt causes MAG_MagZ,
GPS_NSats,GPS_NSats causes MODE_Mode,no-causal,GPS_NSats causes GPS_Alt,,GPS_NSats causes GPS_Spd,GPS_NSats causes GPS_Lat,no-causal,both,GPS_NSats causes GPS_Lng,,GPS_NSats causes DU32_Value,no-causal,GPS_NSats causes ATT_Yaw,GPS_NSats causes ATT_Pitch,GPS_NSats causes EV_Id,GPS_NSats causes CURR_CurrTot,GPS_NSats causes CURR_Volt,GPS_NSats causes CURR_Curr,no-causal,no-causal,no-causal,,no-causal,no-causal,,,GPS_NSats causes PARM_Value,no-causal,GPS_NSats causes ATT_DesPitch,GPS_NSats causes ATT_DesYaw,,GPS_NSats causes CURR_Vcc,GPS_NSats causes CTUN_Alt,no-causal,no-causal,,no-causal,GPS_NSats causes CTUN_DCRt,GPS_NSats causes CTUN_ThrOut,no-causal,GPS_NSats causes CTUN_AngBst,no-causal,GPS_NSats causes ATT_ErrRP,GPS_NSats causes ATT_ErrYaw,GPS_NSats causes GPS_RelAlt,,,,both,,GPS_NSats causes CURR_ThrOut,,GPS_NSats causes NTUN_VelX,GPS_NSats causes NTUN_DVelX,GPS_NSats causes NTUN_DVelY,no-causal,,no-causal,GPS_NSats causes CTUN_TimeMS,GPS_NSats causes IMU_AccX,no-causal,no-causal,no-causal,no-causal,GPS_NSats causes IMU_AccZ,,no-causal,GPS_NSats causes NTUN_DAccX,GPS_NSats causes NTUN_DPosY,no-causal,no-causal,no-causal,GPS_NSats causes RCIN_C5,,GPS_NSats causes RCIN_C7,,no-causal,,no-causal,,GPS_NSats causes RCIN_C6,no-causal,no-causal,both,GPS_NSats causes BARO_Alt,GPS_NSats causes BARO_Press,no-causal,,,,,no-causal,,GPS_NSats causes RAD_RSSI,no-causal,no-causal,no-causal,no-causal,no-causal,GPS_NSats causes MAG_OfsX
GPS_Spd,no-causal,no-causal,GPS_Spd causes GPS_Alt,GPS_Spd causes GPS_NSats,,GPS_Spd causes GPS_Lat,GPS_Spd causes GPS_Status,GPS_Spd causes GPS_HDop,GPS_Spd causes GPS_Lng,,no-causal,GPS_Spd causes ATT_Roll,GPS_Spd causes ATT_Yaw,both,no-causal,no-causal,GPS_Spd causes CURR_Volt,both,GPS_Spd causes GPS_VZ,no-causal,no-causal,,no-causal,no-causal,,,no-causal,GPS_Spd causes ATT_DesRoll,both,GPS_Spd causes ATT_DesYaw,,GPS_Spd causes CURR_Vcc,both,GPS_Spd causes CTUN_SAlt,no-causal,no-causal,both,no-causal,both,GPS_Spd causes CTUN_ThrIn,both,GPS_Spd causes CTUN_BarAlt,both,both,no-causal,no-causal,,no-causal,GPS_Spd causes GPS_TimeMS,no-causal,both,,GPS_Spd causes NTUN_VelX,GPS_Spd causes NTUN_DVelX,GPS_Spd causes NTUN_DVelY,GPS_Spd causes NTUN_VelY,,no-causal,,GPS_Spd causes IMU_AccX,GPS_Spd causes IMU_AccY,GPS_Spd causes IMU_GyrZ,GPS_Spd causes IMU_GyrX,GPS_Spd causes IMU_GyrY,GPS_Spd causes IMU_AccZ,GPS_Spd causes NTUN_DPosX,GPS_Spd causes NTUN_PosX,GPS_Spd causes NTUN_DAccX,both,GPS_Spd causes NTUN_DAccY,GPS_Spd causes NTUN_PosY,GPS_Spd causes RCIN_C1,GPS_Spd causes RCIN_C5,no-causal,no-causal,no-causal,GPS_Spd causes RCIN_C3,no-causal,no-causal,no-causal,no-causal,GPS_Spd causes RCIN_C4,both,GPS_Spd causes BARO_Temp,GPS_Spd causes BARO_Alt,GPS_Spd causes BARO_Press,GPS_Spd causes BARO_CRt,,,no-causal,,no-causal,,GPS_Spd causes RAD_RSSI,no-causal,no-causal,no-causal,no-causal,both,
GPS_Lat,GPS_Lat causes MODE_Mode,GPS_Lat causes GPS_GCrs,GPS_Lat causes GPS_Alt,GPS_Lat causes GPS_NSats,GPS_Lat causes GPS_Spd,,both,GPS_Lat causes GPS_HDop,both,,no-causal,GPS_Lat causes ATT_Roll,GPS_Lat causes ATT_Yaw,both,no-causal,,GPS_Lat causes CURR_Volt,GPS_Lat causes CURR_Curr,GPS_Lat causes GPS_VZ,no-causal,no-causal,,no-causal,no-causal,,GPS_Lat causes PARM_Name,no-causal,GPS_Lat causes ATT_DesRoll,both,GPS_Lat causes ATT_DesYaw,,no-causal,both,no-causal,no-causal,no-causal,GPS_Lat causes CTUN_CRt,GPS_Lat causes CTUN_DCRt,GPS_Lat causes CTUN_ThrOut,GPS_Lat causes CTUN_ThrIn,GPS_Lat causes CTUN_AngBst,no-causal,GPS_Lat causes ATT_ErrRP,GPS_Lat causes ATT_ErrYaw,GPS_Lat causes GPS_RelAlt,no-causal,,no-causal,GPS_Lat causes GPS_TimeMS,no-causal,GPS_Lat causes CURR_ThrOut,,both,both,GPS_Lat causes NTUN_DVelY,GPS_Lat causes NTUN_VelY,,,both,GPS_Lat causes IMU_AccX,GPS_Lat causes IMU_AccY,GPS_Lat causes IMU_GyrZ,GPS_Lat causes IMU_GyrX,GPS_Lat causes IMU_GyrY,GPS_Lat causes IMU_AccZ,both,both,both,both,GPS_Lat causes NTUN_DAccY,GPS_Lat causes NTUN_PosY,GPS_Lat causes RCIN_C1,no-causal,no-causal,no-causal,no-causal,GPS_Lat causes RCIN_C3,no-causal,no-causal,no-causal,GPS_Lat causes RCIN_C6,GPS_Lat causes RCIN_C4,GPS_Lat causes RCIN_C2,both,GPS_Lat causes BARO_Alt,GPS_Lat causes BARO_Press,GPS_Lat causes BARO_CRt,,,,,no-causal,,both,GPS_Lat causes RAD_Noise,no-causal,both,no-causal,both,
GPS_Status,both,GPS_Status causes GPS_GCrs,both,GPS_Status causes GPS_NSats,GPS_Status causes GPS_Spd,both,,both,both,,both,no-causal,GPS_Status causes ATT_Yaw,GPS_Status causes ATT_Pitch,both,,GPS_Status causes CURR_Volt,GPS_Status causes CURR_Curr,GPS_Status causes GPS_VZ,both,,,,no-causal,,,no-causal,no-causal,GPS_Status causes ATT_DesPitch,no-causal,,GPS_Status causes CURR_Vcc,both,,,,,no-causal,GPS_Status causes CTUN_ThrOut,GPS_Status causes CTUN_ThrIn,no-causal,,both,both,no-causal,,,,,,,,,GPS_Status causes NTUN_DVelX,,,,,,GPS_Status causes IMU_AccX,GPS_Status causes IMU_AccY,GPS_Status causes IMU_GyrZ,no-causal,no-causal,GPS_Status causes IMU_AccZ,,,GPS_Status causes NTUN_DAccX,,,,no-causal,no-causal,,no-causal,,GPS_Status causes RCIN_C3,,no-causal,,no-causal,no-causal,no-causal,GPS_Status causes BARO_Temp,no-causal,no-causal,no-causal,,,,,no-causal,,,no-causal,no-causal,,,GPS_Status causes MAG_MagZ,
GPS_HDop,GPS_HDop causes MODE_Mode,no-causal,GPS_HDop causes GPS_Alt,both,GPS_HDop causes GPS_Spd,GPS_HDop causes GPS_Lat,both,,GPS_HDop causes GPS_Lng,,no-causal,no-causal,GPS_HDop causes ATT_Yaw,GPS_HDop causes ATT_Pitch,no-causal,GPS_HDop causes CURR_CurrTot,GPS_HDop causes CURR_Volt,no-causal,no-causal,no-causal,no-causal,,no-causal,no-causal,,,no-causal,no-causal,GPS_HDop causes ATT_DesPitch,GPS_HDop causes ATT_DesYaw,,GPS_HDop causes CURR_Vcc,no-causal,no-causal,no-causal,,no-causal,GPS_HDop causes CTUN_DCRt,GPS_HDop causes CTUN_ThrOut,no-causal,GPS_HDop causes CTUN_AngBst,no-causal,GPS_HDop causes ATT_ErrRP,GPS_HDop causes ATT_ErrYaw,no-causal,,,,both,,no-causal,,GPS_HDop causes NTUN_VelX,GPS_HDop causes NTUN_DVelX,GPS_HDop causes NTUN_DVelY,no-causal,,no-causal,GPS_HDop causes CTUN_TimeMS,no-causal,GPS_HDop causes IMU_AccY,no-causal,no-causal,no-causal,GPS_HDop causes IMU_AccZ,GPS_HDop causes NTUN_DPosX,GPS_HDop causes NTUN_PosX,GPS_HDop causes NTUN_DAccX,GPS_HDop causes NTUN_DPosY,GPS_HDop causes NTUN_DAccY,GPS_HDop causes NTUN_PosY,no-causal,no-causal,,GPS_HDop causes RCIN_C7,,no-causal,,no-causal,,GPS_HDop causes RCIN_C6,no-causal,GPS_HDop causes RCIN_C2,both,no-causal,no-causal,no-causal,,,,,no-causal,,GPS_HDop causes RAD_RSSI,no-causal,no-causal,GPS_HDop causes RAD_RemRSSI,no-causal,no-causal,
GPS_Lng,both,GPS_Lng causes GPS_GCrs,both,GPS_Lng causes GPS_NSats,GPS_Lng causes GPS_Spd,both,both,GPS_Lng causes GPS_HDop,,,no-causal,GPS_Lng causes ATT_Roll,both,GPS_Lng causes ATT_Pitch,GPS_Lng causes EV_Id,,GPS_Lng causes CURR_Volt,no-causal,GPS_Lng causes GPS_VZ,no-causal,GPS_Lng causes PM_NLon,,no-causal,no-causal,,GPS_Lng causes PARM_Name,no-causal,GPS_Lng causes ATT_DesRoll,both,both,,no-causal,both,GPS_Lng causes CTUN_SAlt,GPS_Lng causes CTUN_DSAlt,GPS_Lng causes CTUN_DAlt,both,GPS_Lng causes CTUN_DCRt,GPS_Lng causes CTUN_ThrOut,GPS_Lng causes CTUN_ThrIn,GPS_Lng causes CTUN_AngBst,GPS_Lng causes CTUN_BarAlt,GPS_Lng causes ATT_ErrRP,GPS_Lng causes ATT_ErrYaw,GPS_Lng causes GPS_RelAlt,no-causal,,no-causal,both,no-causal,GPS_Lng causes CURR_ThrOut,,GPS_Lng causes NTUN_VelX,GPS_Lng causes NTUN_DVelX,both,GPS_Lng causes NTUN_VelY,,,both,both,GPS_Lng causes IMU_AccY,GPS_Lng causes IMU_GyrZ,no-causal,no-causal,GPS_Lng causes IMU_AccZ,both,both,GPS_Lng causes NTUN_DAccX,both,GPS_Lng causes NTUN_DAccY,GPS_Lng causes NTUN_PosY,GPS_Lng causes RCIN_C1,no-causal,,no-causal,,no-causal,,no-causal,,no-causal,GPS_Lng causes RCIN_C4,GPS_Lng causes RCIN_C2,both,GPS_Lng causes BARO_Alt,GPS_Lng causes BARO_Press,GPS_Lng causes BARO_CRt,,,,,no-causal,,GPS_Lng causes RAD_RSSI,no-causal,no-causal,no-causal,GPS_Lng causes IMU_TimeMS,GPS_Lng causes MAG_MagZ,no-causal
DU32_Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
