,name,count,count_stat,exist_percent
26,PARM_Value,2339,2311.0,0.9880290722530997
62,IMU_GyrX,1593,1550.0,0.9730069052102951
27,ATT_DesRoll,2224,2109.0,0.9482913669064749
63,IMU_GyrY,1593,1510.0,0.9478970495919649
61,IMU_GyrZ,1593,1500.0,0.9416195856873822
28,ATT_DesPitch,2224,2003.0,0.9006294964028777
86,BARO_CRt,1370,1232.0,0.8992700729927007
30,MSG_Message,2204,1942.0,0.8811252268602541
71,RCIN_C1,1471,1280.0,0.8701563562202583
64,IMU_AccZ,1593,1373.0,0.8618957940991839
31,CURR_Vcc,2154,1835.0,0.8519034354688951
60,IMU_AccY,1593,1318.0,0.8273697426239799
82,RCIN_C2,1471,1203.0,0.8178110129163834
40,CTUN_AngBst,2074,1689.0,0.8143683702989393
13,ATT_Pitch,2497,2025.0,0.8109731678013616
11,ATT_Roll,2498,2016.0,0.8070456365092074
42,ATT_ErrRP,2046,1647.0,0.8049853372434017
59,IMU_AccX,1593,1236.0,0.775894538606403
95,RAD_TxBuf,1117,842.0,0.7538048343777977
1,GPS_GCrs,2525,1880.0,0.7445544554455445
81,RCIN_C4,1471,1092.0,0.7423521414004078
18,GPS_VZ,2440,1756.0,0.719672131147541
36,CTUN_CRt,2151,1541.0,0.7164109716410971
98,MAG_MagZ,960,664.0,0.6916666666666667
43,ATT_ErrYaw,2046,1388.0,0.678396871945259
94,RAD_Noise,1117,740.0,0.6624888093106536
69,NTUN_DAccY,1542,1011.0,0.6556420233463035
67,NTUN_DAccX,1542,999.0,0.6478599221789884
4,GPS_Spd,2525,1620.0,0.6415841584158416
53,NTUN_DVelX,1757,1068.0,0.607854297097325
38,CTUN_ThrOut,2124,1267.0,0.5965160075329566
52,NTUN_VelX,1757,1047.0,0.5959021058622652
54,NTUN_DVelY,1757,1046.0,0.5953329538986909
55,NTUN_VelY,1757,1044.0,0.5941946499715424
80,RCIN_C6,1471,820.0,0.557443915703603
50,CURR_ThrOut,1817,996.0,0.5481563015960375
10,DU32_Value,2514,1361.0,0.541368337311058
29,ATT_DesYaw,2223,1197.0,0.5384615384615384
19,PM_MaxT,2433,1301.0,0.5347307850390465
12,ATT_Yaw,2498,1296.0,0.5188150520416333
74,RCIN_C7,1471,756.0,0.5139360978925901
39,CTUN_ThrIn,2079,1064.0,0.5117845117845118
76,RCIN_C3,1471,746.0,0.5071380013596193
78,RCIN_C8,1471,743.0,0.5050985723997281
20,PM_NLon,2433,1148.0,0.47184545828195645
22,PM_NLoop,2433,1089.0,0.4475955610357583
37,CTUN_DCRt,2151,931.0,0.4328219432821943
17,CURR_Curr,2463,1050.0,0.42630937880633374
7,GPS_HDop,2525,1014.0,0.4015841584158416
72,RCIN_C5,1471,561.0,0.3813732154996601
3,GPS_NSats,2525,946.0,0.37465346534653465
91,RAD_RemNoise,1117,413.0,0.36974037600716203
88,ERR_ECode,1332,464.0,0.3483483483483483
16,CURR_Volt,2463,808.0,0.3280552172147787
5,GPS_Lat,2525,772.0,0.30574257425742574
8,GPS_Lng,2525,765.0,0.30297029702970296
0,MODE_Mode,2541,761.0,0.2994883903974813
93,RAD_RSSI,1117,315.0,0.2820053715308863
87,ERR_Subsys,1332,349.0,0.262012012012012
84,BARO_Alt,1371,320.0,0.23340627279358134
85,BARO_Press,1371,318.0,0.23194748358862144
45,MODE_ThrCrs,1912,442.0,0.23117154811715482
41,CTUN_BarAlt,2074,476.0,0.22950819672131148
83,BARO_Temp,1371,295.0,0.21517140773158278
44,GPS_RelAlt,1943,414.0,0.2130725681935152
14,EV_Id,2472,524.0,0.21197411003236247
32,CTUN_Alt,2151,454.0,0.2110646211064621
96,RAD_RemRSSI,1117,226.0,0.20232766338406447
70,NTUN_PosY,1542,296.0,0.191958495460441
66,NTUN_PosX,1542,284.0,0.18417639429312582
2,GPS_Alt,2525,445.0,0.17623762376237623
23,PM_PMT,2416,396.0,0.16390728476821192
68,NTUN_DPosY,1542,245.0,0.15888456549935148
65,NTUN_DPosX,1542,242.0,0.1569390402075227
35,CTUN_DAlt,2151,306.0,0.14225941422594143
25,PARM_Name,2339,262.0,0.11201368106028217
6,GPS_Status,2525,259.0,0.10257425742574257
47,GPS_Week,1860,160.0,0.08602150537634409
97,IMU_TimeMS,989,80.0,0.08088978766430738
79,RCIN_C9,1471,98.0,0.06662134602311352
33,CTUN_SAlt,2151,138.0,0.06415620641562064
48,GPS_TimeMS,1860,112.0,0.060215053763440864
34,CTUN_DSAlt,2151,129.0,0.0599721059972106
77,RCIN_C12,1471,86.0,0.05846363018354861
75,RCIN_C10,1471,82.0,0.0557443915703603
73,RCIN_C11,1471,80.0,0.054384772263766146
49,GPS_T,1849,85.0,0.04597079502433748
51,PM_INAVErr,1768,80.0,0.04524886877828054
46,CURR_ThrInt,1906,75.0,0.039349422875131164
15,CURR_CurrTot,2463,71.0,0.02882663418595209
92,RAD_Fixed,1117,29.0,0.025962399283795883
57,ATT_TimeMS,1621,39.0,0.024059222702035782
21,PM_I2CErr,2433,55.0,0.02260583641594739
58,CTUN_TimeMS,1598,32.0,0.02002503128911139
24,PM_INSErr,2342,45.0,0.019214346712211786
89,NTUN_TimeMS,1152,22.0,0.019097222222222224
90,RAD_RxErrors,1117,21.0,0.018800358102059087
99,MAG_OfsX,960,17.0,0.017708333333333333
56,CURR_TimeMS,1646,16.0,0.009720534629404616
9,DU32_Id,2514,2.0,0.0007955449482895784
